"index_no";"Company";"TypeName";"inches";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"gpu_name";"OpSys";"Weight";"Price"
1;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";"2.30";8;"SSD";"128";"0";"Intel";"  Iris Plus Graphics 640";"macos";1.37;71379
2;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";"1.80";8;"Flash Storage";"128";"0";"Intel";"  HD Graphics 6000";"macos";1.34;47896
3;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Intel";"  HD Graphics 620";"N/A";1.86;30636
4;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";"2.70";16;"SSD";"512";"0";"AMD";"  Radeon Pro 455";"macos";1.83;135195
5;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";"3.10";8;"SSD";"256";"0";"Intel";"  Iris Plus Graphics 650";"macos";1.37;96096
6;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";"3.00";4;"HDD";"500";"0";"AMD";"  Radeon R5";"windows";2.1;21312
7;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";"2.20";16;"Flash Storage";"256";"0";"Intel";"  Iris Pro Graphics";"macos";2.04;114018
8;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";"1.80";8;"Flash Storage";"256";"0";"Intel";"  HD Graphics 6000";"macos";1.34;61736
9;"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";"1.80";16;"SSD";"512";"0";"Nvidia";"  GeForce MX150";"windows";1.3;79654
10;"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"  UHD Graphics 620";"windows";1.6;41026
11;"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i5";"2.50";4;"HDD";"500";"0";"Intel";"  HD Graphics 620";"N/A";1.86;20987
12;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";"2.00";4;"HDD";"500";"0";"Intel";"  HD Graphics 520";"N/A";1.86;18381
13;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";"2.80";16;"SSD";"256";"0";"AMD";"  Radeon Pro 555";"macos";1.83;130002
14;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";"2.00";4;"SSD";"256";"0";"AMD";"  Radeon R5 M430";"windows";2.2;26581
15;"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core M";"1.20";8;"SSD";"256";"0";"Intel";"  HD Graphics 615";"macos";0.92;67261
16;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";"2.30";8;"SSD";"256";"0";"Intel";"  Iris Plus Graphics 640";"macos";1.37;80908
17;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";"2.70";8;"SSD";"256";"0";"AMD";"  Radeon R5 M430";"windows";2.2;39694
18;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";"2.90";16;"SSD";"512";"0";"AMD";"  Radeon Pro 560";"macos";1.83;152274
19;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";"2.40";8;"HDD";"1024";"0";"Nvidia";"  GeForce 940MX";"N/A";2.2;26587
20;"Dell";"Ultrabook";13.3;1920;1080;1;"Intel";"Core i5";"1.60";8;"SSD";"128";"0";"Intel";"  UHD Graphics 620";"windows";1.22;52161
22;"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";"2.50";8;"Hybrid";"128";"1024";"Nvidia";"  GeForce GTX 1050";"windows";2.5;53227
23;"HP";"Notebook";15.6;1366;768;0;"AMD";"E-Series E2-9000e";"1.50";4;"HDD";"500";"0";"AMD";"  Radeon R2";"N/A";1.86;13746
24;"Dell";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"  UHD Graphics 620";"windows";1.62;43636
25;"HP";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Intel";"  HD Graphics 620";"windows";1.91;35112
26;"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i3";"2.00";4;"HDD";"1024";"0";"Intel";"  HD Graphics 520";"windows";2.3;22305
27;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";"1.60";8;"Flash Storage";"128";"0";"Intel";"  HD Graphics 6000";"macos";1.35;58555
28;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"AMD";"  Radeon 530";"windows";2.2;42624
29;"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";"1.90";8;"SSD";"256";"  256GB SSD";"Intel";"  UHD Graphics 620";"windows";1.88;69157
30;"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";"1.60";8;"HDD";"1024";"0";"Nvidia";"  GeForce 930MX";"windows";2.5;47739
31;"Chuwi";"Notebook";15.6;1920;1080;0;"Intel";"Atom x5-Z8300";"1.44";4;"Flash Storage";"64";"0";"Intel";"  HD Graphics";"windows";1.89;13053
32;"Asus";"Notebook";14.0;1366;768;0;"AMD";"E-Series E2-6110";"1.50";2;"Flash Storage";"32";"0";"AMD";"  Radeon R2";"windows";1.65;10603
33;"HP";"Notebook";17.3;1920;1080;0;"AMD";"A6-Series 9220";"2.50";4;"HDD";"500";"0";"AMD";"  Radeon 530";"windows";2.71;23390
34;"Dell";"Ultrabook";13.3;3200;1800;1;"Intel";"Core i7";"1.80";16;"SSD";"512";"0";"Intel";"  UHD Graphics 620";"windows";1.2;99580
35;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";"1.60";8;"Flash Storage";"256";"0";"Intel";"  HD Graphics 6000";"macos";1.35;53173
36;"Lenovo";"Notebook";14.0;1366;768;0;"Intel";"Celeron Dual";"1.10";4;"Flash Storage";"64";"0";"Intel";"  HD Graphics 500";"windows";1.44;13267
37;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";"2.70";4;"HDD";"1024";"0";"Intel";"  HD Graphics 620";"linux";2.1;19554
38;"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";"1.60";8;"Hybrid";"128";"1024";"AMD";"  Radeon 530";"windows";2.8;52161
39;"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i5";"2.50";4;"HDD";"1024";"0";"Intel";"  HD Graphics 620";"windows";1.86;26037
40;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Nvidia";"  GeForce 930MX ";"windows";2.1;46833
41;"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";"2.00";4;"HDD";"1024";"0";"Intel";"  HD Graphics 620";"linux";2.0;20726
42;"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";"2.80";16;"Hybrid";"256";"1024";"Nvidia";"  GeForce GTX 1060";"windows";2.65;79867
43;"Asus";"Notebook";15.6;1366;768;0;"Intel";"Core i5";"2.50";8;"HDD";"1024";"0";"Nvidia";"  GeForce 940MX";"linux";2.3;27865
44;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";"1.60";4;"SSD";"256";"0";"Intel";"  UHD Graphics 620";"windows";2.2;36337
45;"Dell";"2 in 1 Convertible";17.3;1920;1080;1;"Intel";"Core i5";"1.60";12;"HDD";"1024";"0";"Nvidia";"  GeForce 150MX";"windows";2.77;53227
46;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";"2.00";8;"SSD";"256";"0";"Intel";"  Iris Graphics 540";"macos";1.37;75604
48;"Asus";"Gaming";17.3;1920;1080;0;"AMD";"Ryzen 1700";"3.00";8;"Hybrid";"256";"1024";"AMD";"  Radeon RX 580";"windows";3.2;69211
49;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";"2.50";4;"SSD";"256";"0";"AMD";"  Radeon R5 M430";"windows";2.3;34046
50;"Asus";"Notebook";17.3;1366;768;0;"Intel";"Pentium Quad";"1.10";4;"HDD";"1024";"0";"Nvidia";"  GeForce 920MX";"windows";2.8;24828
52;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Nvidia";"  GeForce MX150";"windows";2.2;44808
53;"HP";"Notebook";15.6;1920;1080;0;"AMD";"A6-Series 9220";"2.50";4;"SSD";"256";"0";"AMD";"  Radeon R4 Graphics";"windows";1.86;21232
54;"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"512";"0";"Intel";"  UHD Graphics 620";"windows";1.49;58768
55;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";"2.40";4;"HDD";"1024";"0";"Intel";"  HD Graphics 620";"windows";2.4;20460
56;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"AMD";"  Radeon 520";"windows";2.13;40908
57;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";"2.00";4;"SSD";"128";"0";"Intel";"  HD Graphics 520";"windows";1.91;23390
58;"Asus";"Notebook";15.6;1366;768;0;"Intel";"Core i5";"2.50";4;"SSD";"256";"0";"Intel";"  HD Graphics 620";"windows";2.0;31232
59;"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";"2.80";16;"Hybrid";"256";"2048";"Nvidia";"  GeForce GTX 1070";"windows";2.43;130483
60;"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";"2.00";4;"SSD";"256";"0";"Intel";"  HD Graphics 520";"linux";2.0;22111
